userID,assessmentItemID,testId,answerCode,Timestamp,KnowledgeTag
6525,A050131003,A020000025,1,2020-01-26 09:07:39,5290
682,A080135007,A020000064,1,2020-10-20 06:52:50,7665
5518,A060133001,A040000006,0,2020-07-11 13:51:37,5655
4768,A020172002,A020000045,0,2020-08-27 06:04:34,1727
4261,A070163005,A070000150,0,2020-06-25 22:56:01,9067
3025,A070017003,A060000097,0,2020-08-07 03:21:06,10568
632,A050187004,A030000025,0,2020-08-12 11:20:06,8097
6705,A050078004,A060000063,1,2020-11-14 07:40:15,1707
304,A070069002,A070000132,1,2020-06-11 10:29:23,4963
791,A080086001,A070000024,1,2020-03-26 00:55:36,595
5712,A070019003,A050000154,1,2020-05-18 22:12:48,5286
2364,A020121005,A080000020,1,2020-03-26 02:08:22,4669
6474,A060025002,A070000147,0,2020-07-11 12:19:52,9592
3853,A040111005,A010000072,1,2020-07-27 23:16:03,709
2961,A040047001,A070000123,0,2020-07-24 08:05:50,394
608,A060012003,A010000148,0,2020-10-05 02:22:44,10625
336,A070043004,A040000050,1,2020-08-04 03:57:13,2610
6202,A060049002,A030000033,1,2020-10-26 13:55:55,6307
2990,A070028004,A090000008,1,2020-09-24 09:32:49,5809
3564,A040172002,A040000085,1,2020-02-06 05:18:10,2076
5869,A070039002,A030000097,1,2020-10-21 10:44:29,9049
2728,A070016005,A080000049,1,2020-05-23 01:16:37,607
1453,A060101005,A060000100,1,2020-07-03 11:19:19,8892
6266,A050163002,A050000130,0,2020-08-22 04:04:28,10608
1665,A050174001,A010000163,0,2020-05-25 22:59:41,2712
2380,A090038003,A050000133,1,2020-09-02 07:49:47,1002
5940,A080046006,A010000108,1,2020-08-10 02:42:36,2112
1070,A020190004,A050000067,0,2020-06-22 12:06:11,1962
915,A030039003,A010000094,1,2020-12-29 07:10:16,331
2922,A020058005,A070000075,1,2020-05-18 11:39:27,3756
2696,A030015003,A010000157,0,2020-09-18 10:59:45,10573
1247,A010175001,A050000151,1,2020-04-02 06:08:02,2128
1872,A070018008,A060000052,0,2020-01-21 01:52:33,5270
6399,A040148001,A050000057,0,2020-08-26 06:43:42,5268
3417,A030174004,A070000145,0,2020-09-23 02:01:35,1456
393,A030127002,A040000182,1,2020-11-27 02:23:12,7310
2180,A080066006,A080000074,0,2020-03-15 04:56:19,2715
865,A050143005,A050000120,0,2020-10-25 07:12:24,7919
6724,A080094001,A030000179,0,2020-11-07 03:08:14,1577
5413,A080127003,A050000035,0,2020-08-26 05:15:13,6557
2743,A090072003,A040000054,0,2020-05-20 09:37:36,9925
2475,A040195002,A030000094,1,2020-09-18 02:12:47,1707
3979,A020052002,A020000114,1,2020-12-15 15:41:27,9811
2143,A080128009,A010000113,1,2020-07-28 13:37:28,9078
3187,A050059004,A020000041,0,2020-03-27 12:05:17,9660
7427,A010058004,A040000197,0,2020-12-25 09:05:31,1250
4748,A080046002,A010000004,1,2020-05-18 02:03:53,4980
133,A070118003,A040000069,0,2020-10-21 08:41:40,7867
4167,A020183001,A030000087,0,2020-06-12 00:32:18,610
4550,A060058004,A020000041,1,2020-10-06 05:41:59,10328
3489,A060022003,A030000088,1,2020-08-25 23:06:53,609
981,A020035005,A090000054,1,2020-06-09 12:02:05,9931
5306,A050037001,A020000062,1,2020-04-08 00:31:39,438
434,A020099002,A080000092,1,2020-06-11 09:54:48,627
6424,A060151005,A070000153,0,2020-07-06 04:18:39,2715
4120,A030008003,A020000161,1,2020-08-04 15:53:15,2715
1910,A070154005,A050000104,0,2020-05-22 08:09:04,4699
2007,A050013001,A050000099,1,2020-07-03 03:59:19,5142
5119,A040032001,A020000031,1,2020-11-20 06:36:47,1201
1700,A060081006,A010000143,1,2020-01-03 11:05:45,1962
6585,A020086005,A020000096,1,2020-04-28 06:39:44,7782
787,A070002005,A020000024,0,2020-10-16 02:36:44,974
6462,A080103003,A040000015,1,2020-02-12 05:12:48,346
6166,A030169005,A090000049,0,2020-09-24 23:05:31,9519
5923,A010057005,A030000037,1,2020-07-18 07:33:09,7224
5576,A070012005,A070000034,1,2020-04-15 21:39:40,5289
6637,A040081005,A070000062,0,2020-09-19 08:48:31,419
1244,A020011002,A040000187,0,2020-11-24 09:38:31,8427
7299,A080089003,A080000002,0,2020-10-24 03:02:14,4978
5862,A030193007,A090000020,1,2020-03-20 00:43:01,4665
665,A050094006,A010000192,1,2020-08-28 09:52:26,3792
2653,A070113006,A080000035,1,2020-09-02 09:55:22,439
6960,A060096001,A010000043,1,2020-11-26 05:00:23,4688
6944,A060163002,A060000061,1,2020-11-26 08:14:35,32
7407,A050077004,A010000089,0,2020-12-12 02:29:14,4979
